DATE,SPECIES,SEX,GROUP,ID,ANIMAL_ID,CAGE,NOTCH,PAW,DAY,OBSERVATION,LAST
1/13/22,,FEMALE,OC-WT,C,AC332,4,R,LEFT,0,OOOXXOOO,4.93
1/13/22,,FEMALE,OC-WT,C,AC333,4,NØ,LEFT,0,OOOOO,5.18
1/14/22,,FEMALE,OC-WT,C,AC346,9,L,LEFT,0,OOOOXXOXO,4.74
1/14/22,,FEMALE,OC-WT,C,AC347,9,R,LEFT,0,OOOXOOXO,4.93
1/14/22,,FEMALE,OC-WT,C,AC348,9,NØ,LEFT,0,OOOOO,5.18
1/13/22,,FEMALE,OC-WT,C,AC331,4,L,RIGHT,0,OOOXOOXO,4.93
1/13/22,,FEMALE,OC-WT,C,AC332,4,R,RIGHT,0,OOOOXXOOX,5.18
1/13/22,,FEMALE,OC-WT,C,AC333,4,NØ,RIGHT,0,OOOOO,5.18
1/14/22,,FEMALE,OC-WT,C,AC346,9,L,RIGHT,0,OOOOXOXXO,4.74
1/14/22,,FEMALE,OC-WT,C,AC347,9,R,RIGHT,0,OOOXOXXO,4.56
1/14/22,,FEMALE,OC-WT,C,AC348,9,NØ,RIGHT,0,OOOOO,5.18
1/13/22,,FEMALE,COV2,D,AC334,5,L,LEFT,0,OOOOO,5.18
1/13/22,,FEMALE,COV2,D,AC335,5,R,LEFT,0,OOOOO,5.18
1/13/22,,FEMALE,COV2,D,AC336,5,NØ,LEFT,0,OOOXOXOO,4.93
1/14/22,,FEMALE,COV2,D,AC349,10,L,LEFT,0,OOOOO,5.18
1/14/22,,FEMALE,COV2,D,AC350,10,R,LEFT,0,OOOOXXOOO,5.18
1/14/22,,FEMALE,COV2,D,AC351,10,NØ,LEFT,0,OOOOO,5.18
1/13/22,,FEMALE,COV2,D,AC334,5,L,RIGHT,0,OOOOXXOOX,5.18
1/13/22,,FEMALE,COV2,D,AC335,5,R,RIGHT,0,OOOOO,5.18
1/13/22,,FEMALE,COV2,D,AC336,5,NØ,RIGHT,0,OOXXOOX,4.74
1/14/22,,FEMALE,COV2,D,AC349,10,L,RIGHT,0,OOOOO,5.18
1/14/22,,FEMALE,COV2,D,AC350,10,R,RIGHT,0,OOXOOOX,5.18
1/14/22,,FEMALE,COV2,D,AC351,10,NØ,RIGHT,0,OOOOXOXOO,5.18
1/13/22,,FEMALE,PBS,E,AC337,6,L,LEFT,0,OOOOXOXOX,5.18
1/13/22,,FEMALE,PBS,E,AC338,6,R,LEFT,0,OOOOO,5.18
1/13/22,,FEMALE,PBS,E,AC339,6,NØ,LEFT,0,OOOOO,5.18
1/14/22,,FEMALE,PBS,E,AC352,12,L,LEFT,0,OOOXOXOO,4.93
1/14/22,,FEMALE,PBS,E,AC353,12,R,LEFT,0,OOOOXOXOO,5.18
1/14/22,,FEMALE,PBS,E,AC354,12,NØ,LEFT,0,OOOOO,5.18
1/13/22,,FEMALE,PBS,E,AC337,6,L,RIGHT,0,OOOOO,5.18
1/13/22,,FEMALE,PBS,E,AC338,6,R,RIGHT,0,OOOOO,5.18
1/13/22,,FEMALE,PBS,E,AC339,6,NØ,RIGHT,0,OOOOO,5.18
1/14/22,,FEMALE,PBS,E,AC352,12,L,RIGHT,0,OOOOXOXOX,5.18
1/14/22,,FEMALE,PBS,E,AC353,12,R,RIGHT,0,OOOOO,5.18
1/14/22,,FEMALE,PBS,E,AC354,12,NØ,RIGHT,0,OOOOO,5.18
1/21/22,,FEMALE,SCRs,A,AC225,1,L,LEFT,1,OXOOOO,4.93
1/21/22,,FEMALE,SCRs,A,AC226,1,R,LEFT,1,OXOXXO,4.08
1/21/22,,FEMALE,SCRs,A,AC227,1,NØ,LEFT,1,OOOOXOXXO,4.74
1/22/22,,FEMALE,SCRs,A,AC340,7,L,LEFT,1,OXXOOX,4.56
1/22/22,,FEMALE,SCRs,A,AC341,7,R,LEFT,1,OOOXXOOX,4.93
1/22/22,,FEMALE,SCRs,A,AC342,7,NØ,LEFT,1,OXOXOO,4.56
1/21/22,,FEMALE,SCRs,A,AC225,1,L,RIGHT,1,OXOXOX,4.56
1/21/22,,FEMALE,SCRs,A,AC226,1,R,RIGHT,1,OOXXOXO,4.31
1/21/22,,FEMALE,SCRs,A,AC227,1,NØ,RIGHT,1,OOOOO,5.18
1/22/22,,FEMALE,SCRs,A,AC340,7,L,RIGHT,1,OOOOXXOOX,5.18
1/22/22,,FEMALE,SCRs,A,AC341,7,R,RIGHT,1,OOOXOXOX,4.93
1/22/22,,FEMALE,SCRs,A,AC342,7,NØ,RIGHT,1,OOOXOXOX,4.93
1/21/22,,FEMALE,MBP84-104,B,AC228,2,L,LEFT,1,OOXXOXO,4.31
1/21/22,,FEMALE,MBP84-104,B,AC229,2,R,LEFT,1,XOXXOX,4.08
1/21/22,,FEMALE,MBP84-104,B,AC330,2,NØ,LEFT,1,OXXOOO,4.56
1/22/22,,FEMALE,MBP84-104,B,AC343,8,L,LEFT,1,OOXOOXO,4.74
1/22/22,,FEMALE,MBP84-104,B,AC344,8,R,LEFT,1,OOOOXOXXO,4.74
1/22/22,,FEMALE,MBP84-104,B,AC345,8,NØ,LEFT,1,OOOXOXOX,4.93
1/21/22,,FEMALE,MBP84-104,B,AC228,2,L,RIGHT,1,OOXOOXO,4.74
1/21/22,,FEMALE,MBP84-104,B,AC229,2,R,RIGHT,1,OOOXOOXX,4.93
1/21/22,,FEMALE,MBP84-104,B,AC330,2,NØ,RIGHT,1,OOOOXXXXO,4.31
1/22/22,,FEMALE,MBP84-104,B,AC343,8,L,RIGHT,1,OOOXOXXO,4.56
1/22/22,,FEMALE,MBP84-104,B,AC344,8,R,RIGHT,1,OOOXOOXO,4.93
1/22/22,,FEMALE,MBP84-104,B,AC345,8,NØ,RIGHT,1,OOOXOOXO,4.93
1/21/22,,FEMALE,OC-WT,C,AC331,4,L,LEFT,1,OOXXOOX,4.74
1/21/22,,FEMALE,OC-WT,C,AC332,4,R,LEFT,1,OOXOOXO,4.74
1/21/22,,FEMALE,OC-WT,C,AC333,4,NØ,LEFT,1,OOOOXOO,5.18
1/22/22,,FEMALE,OC-WT,C,AC346,9,L,LEFT,1,OXXOXO,4.08
1/22/22,,FEMALE,OC-WT,C,AC347,9,R,LEFT,1,OXOOOX,4.93
1/22/22,,FEMALE,OC-WT,C,AC348,9,NØ,LEFT,1,OOOXXXOX,4.56
1/21/22,,FEMALE,OC-WT,C,AC331,4,L,RIGHT,1,OOXOOOO,5.18
1/21/22,,FEMALE,OC-WT,C,AC332,4,R,RIGHT,1,OOOXOXOX,4.93
1/21/22,,FEMALE,OC-WT,C,AC333,4,NØ,RIGHT,1,OOOOXOO,5.18
1/22/22,,FEMALE,OC-WT,C,AC346,9,L,RIGHT,1,OOOXXOXX,4.56
1/22/22,,FEMALE,OC-WT,C,AC347,9,R,RIGHT,1,OOXXOXO,4.31
1/22/22,,FEMALE,OC-WT,C,AC348,9,NØ,RIGHT,1,OOOOO,5.18
1/21/22,,FEMALE,COV2,D,AC334,5,L,LEFT,1,OOOOXOXXO,4.74
1/21/22,,FEMALE,COV2,D,AC335,5,R,LEFT,1,OOOOXOXOO,5.18
1/21/22,,FEMALE,COV2,D,AC336,5,NØ,LEFT,1,OXXOXO,4.08
1/22/22,,FEMALE,COV2,D,AC349,10,L,LEFT,1,OOOOXOXXX,4.74
1/22/22,,FEMALE,COV2,D,AC350,10,R,LEFT,1,OOOXOOXO,4.93
1/22/22,,FEMALE,COV2,D,AC351,10,NØ,LEFT,1,OOXOXOX,4.74
1/21/22,,FEMALE,COV2,D,AC334,5,L,RIGHT,1,OOOOXOXOX,5.18
1/21/22,,FEMALE,COV2,D,AC335,5,R,RIGHT,1,OOOOXOXOX,5.18
1/21/22,,FEMALE,COV2,D,AC336,5,NØ,RIGHT,1,OOXOOXX,4.74
1/22/22,,FEMALE,COV2,D,AC349,10,L,RIGHT,1,OOOOXOXOX,5.18
1/22/22,,FEMALE,COV2,D,AC350,10,R,RIGHT,1,OOOXOOXX,4.93
1/22/22,,FEMALE,COV2,D,AC351,10,NØ,RIGHT,1,OOOOXOXOX,5.18
1/21/22,,FEMALE,PBS,E,AC337,6,L,LEFT,1,OOOOO,5.18
1/21/22,,FEMALE,PBS,E,AC338,6,R,LEFT,1,OOOOO,5.18
1/21/22,,FEMALE,PBS,E,AC339,6,NØ,LEFT,1,OOOOO,5.18
1/22/22,,FEMALE,PBS,E,AC352,12,L,LEFT,1,OOOOXOXXX,4.74
1/22/22,,FEMALE,PBS,E,AC353,12,R,LEFT,1,OOOOXOXOX,5.18
1/22/22,,FEMALE,PBS,E,AC354,12,NØ,LEFT,1,OOOOO,5.18
1/21/22,,FEMALE,PBS,E,AC337,6,L,RIGHT,1,OOOOO,5.18
1/21/22,,FEMALE,PBS,E,AC338,6,R,RIGHT,1,OOOOO,5.18
1/21/22,,FEMALE,PBS,E,AC339,6,NØ,RIGHT,1,OOOOO,5.18
1/22/22,,FEMALE,PBS,E,AC352,12,L,RIGHT,1,OOOOXOXOX,5.18
1/22/22,,FEMALE,PBS,E,AC353,12,R,RIGHT,1,OOOOO,5.18
1/22/22,,FEMALE,PBS,E,AC354,12,NØ,RIGHT,1,OOOOO,5.18
1/23/22,,FEMALE,SCRs,A,AC225,1,L,LEFT,3,OOOXOXXO,4.56
1/23/22,,FEMALE,SCRs,A,AC226,1,R,LEFT,3,OOXOXXO,4.31
1/23/22,,FEMALE,SCRs,A,AC227,1,NØ,LEFT,3,OOXXOOO,4.74
1/24/22,,FEMALE,SCRs,A,AC340,7,L,LEFT,3,OXXXOX,4.08
1/24/22,,FEMALE,SCRs,A,AC341,7,R,LEFT,3,OXOXOO,4.56
1/24/22,,FEMALE,SCRs,A,AC342,7,NØ,LEFT,3,OXOXXO,4.08
1/23/22,,FEMALE,SCRs,A,AC225,1,L,RIGHT,3,OOOXOOO,5.18
1/23/22,,FEMALE,SCRs,A,AC226,1,R,RIGHT,3,OXXOOO,4.56
1/23/22,,FEMALE,SCRs,A,AC227,1,NØ,RIGHT,3,OOOOXOXOX,5.18
1/24/22,,FEMALE,SCRs,A,AC340,7,L,RIGHT,3,OOOXOXOO,4.93
1/24/22,,FEMALE,SCRs,A,AC341,7,R,RIGHT,3,OXOXOO,4.56
1/24/22,,FEMALE,SCRs,A,AC342,7,NØ,RIGHT,3,OOXXOXO,4.31
1/23/22,,FEMALE,MBP84-104,B,AC228,2,L,LEFT,3,OXOXOX,4.56
1/23/22,,FEMALE,MBP84-104,B,AC229,2,R,LEFT,3,OXXOXO,4.08
1/23/22,,FEMALE,MBP84-104,B,AC330,2,NØ,LEFT,3,OXOXOO,4.56
1/24/22,,FEMALE,MBP84-104,B,AC343,8,L,LEFT,3,OXOOXO,4.56
1/24/22,,FEMALE,MBP84-104,B,AC344,8,R,LEFT,3,OOOXOOXO,4.93
1/24/22,,FEMALE,MBP84-104,B,AC345,8,NØ,LEFT,3,OOXOOXO,4.74
1/23/22,,FEMALE,MBP84-104,B,AC228,2,L,RIGHT,3,OOOOXOXOX,5.18
1/23/22,,FEMALE,MBP84-104,B,AC229,2,R,RIGHT,3,OOOOXXOXX,4.74
1/23/22,,FEMALE,MBP84-104,B,AC330,2,NØ,RIGHT,3,OOOOXOXOX,5.18
1/24/22,,FEMALE,MBP84-104,B,AC343,8,L,RIGHT,3,OOXOOO,4.93
1/24/22,,FEMALE,MBP84-104,B,AC344,8,R,RIGHT,3,OOOOO,5.18
1/24/22,,FEMALE,MBP84-104,B,AC345,8,NØ,RIGHT,3,OOOXOXOO,4.93
1/23/22,,FEMALE,OC-WT,C,AC331,4,L,LEFT,3,OXOOXO,4.56
1/23/22,,FEMALE,OC-WT,C,AC332,4,R,LEFT,3,OOXXXOX,4.31
1/23/22,,FEMALE,OC-WT,C,AC333,4,NØ,LEFT,3,OOXOOOX,5.18
1/24/22,,FEMALE,OC-WT,C,AC346,9,L,LEFT,3,OOXOXOX,4.74
1/24/22,,FEMALE,OC-WT,C,AC347,9,R,LEFT,3,OXOOXX,4.56
1/24/22,,FEMALE,OC-WT,C,AC348,9,NØ,LEFT,3,OOOXOXXX,4.56
1/23/22,,FEMALE,OC-WT,C,AC331,4,L,RIGHT,3,OOOXOOXX,4.93
1/23/22,,FEMALE,OC-WT,C,AC332,4,R,RIGHT,3,OOOXOXOX,4.93
1/23/22,,FEMALE,OC-WT,C,AC333,4,NØ,RIGHT,3,OOOOXOXOX,5.18
1/24/22,,FEMALE,OC-WT,C,AC346,9,L,RIGHT,3,OOOXOXXO,4.56
1/24/22,,FEMALE,OC-WT,C,AC347,9,R,RIGHT,3,OXOOXO,4.56
1/24/22,,FEMALE,OC-WT,C,AC348,9,NØ,RIGHT,3,OOOXOOO,5.18
1/23/22,,FEMALE,COV2,D,AC334,5,L,LEFT,3,OOOXOXXX,4.56
1/23/22,,FEMALE,COV2,D,AC335,5,R,LEFT,3,OOOOXOXXX,4.74
1/23/22,,FEMALE,COV2,D,AC336,5,NØ,LEFT,3,OOXOOXX,4.74
1/24/22,,FEMALE,COV2,D,AC349,10,L,LEFT,3,OOXXOOO,4.74
1/24/22,,FEMALE,COV2,D,AC350,10,R,LEFT,3,OOOOXXOOX,5.18
1/24/22,,FEMALE,COV2,D,AC351,10,NØ,LEFT,3,OOXOXOO,4.74
1/23/22,,FEMALE,COV2,D,AC334,5,L,RIGHT,3,OOOOXOXXO,4.74
1/23/22,,FEMALE,COV2,D,AC335,5,R,RIGHT,3,OOOOO,5.18
1/23/22,,FEMALE,COV2,D,AC336,5,NØ,RIGHT,3,OOOXOXXX,4.56
1/24/22,,FEMALE,COV2,D,AC349,10,L,RIGHT,3,OOOOO,5.18
1/24/22,,FEMALE,COV2,D,AC350,10,R,RIGHT,3,OOOOXOXXO,4.74
1/24/22,,FEMALE,COV2,D,AC351,10,NØ,RIGHT,3,OOOOO,5.18
1/23/22,,FEMALE,PBS,E,AC337,6,L,LEFT,3,OOOXOOXO,4.93
1/23/22,,FEMALE,PBS,E,AC338,6,R,LEFT,3,OOOOXOXOX,5.18
1/23/22,,FEMALE,PBS,E,AC339,6,NØ,LEFT,3,OOOOXOXXO,4.74
1/24/22,,FEMALE,PBS,E,AC352,12,L,LEFT,3,OOOOXXOOX,5.18
1/24/22,,FEMALE,PBS,E,AC353,12,R,LEFT,3,OOOOXOXOX,5.18
1/24/22,,FEMALE,PBS,E,AC354,12,NØ,LEFT,3,OXOOXO,4.56
1/23/22,,FEMALE,PBS,E,AC337,6,L,RIGHT,3,OOOOO,5.18
1/23/22,,FEMALE,PBS,E,AC338,6,R,RIGHT,3,OOOOXOO,5.18
1/23/22,,FEMALE,PBS,E,AC339,6,NØ,RIGHT,3,OOOOXOO,5.18
1/24/22,,FEMALE,PBS,E,AC352,12,L,RIGHT,3,OOOOO,5.18
1/24/22,,FEMALE,PBS,E,AC353,12,R,RIGHT,3,OOOOXOXOO,5.18
1/24/22,,FEMALE,PBS,E,AC354,12,NØ,RIGHT,3,OOOOXOO,5.18
2022_01_25,RAT,FEMALE,SCRs,A,AC225,1,L,LEFT,5,OOOXOXXX,4.56
2022_01_25,RAT,FEMALE,SCRs,A,AC226,1,R,LEFT,5,OOOXXXXO,4.08
2022_01_25,RAT,FEMALE,SCRs,A,AC227,1,NØ,LEFT,5,OXOOOO,4.93
2022_01_26,RAT,FEMALE,SCRs,A,AC340,7,L,LEFT,5,OOXOXXO,4.31
2022_01_26,RAT,FEMALE,SCRs,A,AC341,7,R,LEFT,5,OXOOXO,4.56
